Date;Sous-compte;Libelle;Debit;Credit;Reference;CODE
02/01/2025;601006;Achat legumes;14800;0;CANTINE-20250102;BNI
02/01/2025;531001;Achat legumes;0;14800;CANTINE-20250102;BNI
03/01/2025;601008;Achat viande;17800;0;CANTINE-20250103;BNI
03/01/2025;531001;Achat viande;0;17800;CANTINE-20250103;BNI
06/01/2025;601009;Achat gouter;6500;0;CANTINE-20250106;BNI
06/01/2025;531001;Achat gouter;0;6500;CANTINE-20250106;BNI
07/01/2025;601006;Achat legumes;15100;0;CANTINE-20250107;BNI
07/01/2025;531001;Achat legumes;0;15100;CANTINE-20250107;BNI
08/01/2025;601008;Achat viande;18100;0;CANTINE-20250108;BNI
08/01/2025;531001;Achat viande;0;18100;CANTINE-20250108;BNI
09/01/2025;601009;Achat gouter;6700;0;CANTINE-20250109;BNI
09/01/2025;531001;Achat gouter;0;6700;CANTINE-20250109;BNI
10/01/2025;601006;Achat legumes;15400;0;CANTINE-20250110;BNI
10/01/2025;531001;Achat legumes;0;15400;CANTINE-20250110;BNI
13/01/2025;601008;Achat viande;18400;0;CANTINE-20250113;BNI
13/01/2025;531001;Achat viande;0;18400;CANTINE-20250113;BNI
14/01/2025;601009;Achat gouter;6900;0;CANTINE-20250114;BNI
14/01/2025;531001;Achat gouter;0;6900;CANTINE-20250114;BNI
15/01/2025;601006;Achat legumes;15700;0;CANTINE-20250115;BNI
15/01/2025;531001;Achat legumes;0;15700;CANTINE-20250115;BNI
16/01/2025;601008;Achat viande;18700;0;CANTINE-20250116;BNI
16/01/2025;531001;Achat viande;0;18700;CANTINE-20250116;BNI
17/01/2025;601009;Achat gouter;7100;0;CANTINE-20250117;BNI
17/01/2025;531001;Achat gouter;0;7100;CANTINE-20250117;BNI
20/01/2025;601006;Achat legumes;16000;0;CANTINE-20250120;BNI
20/01/2025;531001;Achat legumes;0;16000;CANTINE-20250120;BNI
21/01/2025;601008;Achat viande;19000;0;CANTINE-20250121;BNI
21/01/2025;531001;Achat viande;0;19000;CANTINE-20250121;BNI
22/01/2025;706001;Ecolage divers élèves;0;1550000;ECOL-20250122;BNI
22/01/2025;531001;Ecolage divers élèves;1550000;0;ECOL-20250122;BNI
25/01/2025;641002;Paiement salaire maitresse;250000;0;SALAIRE-20250125;BNI
25/01/2025;641004;Paiement salaire gardien;180000;0;SALAIRE-20250125;BNI
25/01/2025;641005;Paiement femme de ménage;150000;0;SALAIRE-20250125;BNI
25/01/2025;531001;Paiement salaires;0;580000;SALAIRE-20250125;BNI
27/01/2025;605004;Jirama;34500;0;JIRAMA-20250127;BNI
27/01/2025;531001;Jirama;0;34500;JIRAMA-20250127;BNI
28/01/2025;164001;Echeancier pret bancaire;900000;0;PRET-20250128;BNI
28/01/2025;531001;Echeancier pret bancaire;0;900000;PRET-20250128;BNI
30/01/2025;601001;Achat fournitures scolaires;130000;0;FOURN-20250130;BNI
30/01/2025;401001;Achat fournitures scolaires;0;130000;FOURN-20250130;BNI
31/01/2025;401001;Règlement fournisseur;130000;0;REG-FOURN-20250131;BNI
31/01/2025;531001;Règlement fournisseur;0;130000;REG-FOURN-20250131;BNI
03/02/2025;601006;Achat legumes;15900;0;CANTINE-20250203;BNI
03/02/2025;531001;Achat legumes;0;15900;CANTINE-20250203;BNI
04/02/2025;601008;Achat viande;18900;0;CANTINE-20250204;BNI
04/02/2025;531001;Achat viande;0;18900;CANTINE-20250204;BNI
05/02/2025;601009;Achat gouter;7300;0;CANTINE-20250205;BNI
05/02/2025;531001;Achat gouter;0;7300;CANTINE-20250205;BNI
06/02/2025;601006;Achat legumes;16200;0;CANTINE-20250206;BNI
06/02/2025;531001;Achat legumes;0;16200;CANTINE-20250206;BNI
07/02/2025;601008;Achat viande;19200;0;CANTINE-20250207;BNI
07/02/2025;531001;Achat viande;0;19200;CANTINE-20250207;BNI
10/02/2025;601009;Achat gouter;7500;0;CANTINE-20250210;BNI
10/02/2025;531001;Achat gouter;0;7500;CANTINE-20250210;BNI
11/02/2025;601006;Achat legumes;16500;0;CANTINE-20250211;BNI
11/02/2025;531001;Achat legumes;0;16500;CANTINE-20250211;BNI
12/02/2025;601008;Achat viande;19500;0;CANTINE-20250212;BNI
12/02/2025;531001;Achat viande;0;19500;CANTINE-20250212;BNI
13/02/2025;601009;Achat gouter;7700;0;CANTINE-20250213;BNI
13/02/2025;531001;Achat gouter;0;7700;CANTINE-20250213;BNI
14/02/2025;601006;Achat legumes;16800;0;CANTINE-20250214;BNI
14/02/2025;531001;Achat legumes;0;16800;CANTINE-20250214;BNI
15/02/2025;512001;Appro caisse via BMOI;0;2000000;APPRO-20250215;BNI
15/02/2025;531001;Appro caisse via BMOI;2000000;0;APPRO-20250215;BNI
17/02/2025;601008;Achat viande;19800;0;CANTINE-20250217;BNI
17/02/2025;531001;Achat viande;0;19800;CANTINE-20250217;BNI
18/02/2025;601009;Achat gouter;7900;0;CANTINE-20250218;BNI
18/02/2025;531001;Achat gouter;0;7900;CANTINE-20250218;BNI
19/02/2025;601006;Achat legumes;17100;0;CANTINE-20250219;BNI
19/02/2025;531001;Achat legumes;0;17100;CANTINE-20250219;BNI
20/02/2025;706001;Ecolage divers élèves;0;1570000;ECOL-20250220;BNI
20/02/2025;531001;Ecolage divers élèves;1570000;0;ECOL-20250220;BNI
25/02/2025;641002;Paiement salaire maitresse;250000;0;SALAIRE-20250225;BNI
25/02/2025;641004;Paiement salaire gardien;180000;0;SALAIRE-20250225;BNI
25/02/2025;641005;Paiement femme de ménage;150000;0;SALAIRE-20250225;BNI
25/02/2025;531001;Paiement salaires;0;580000;SALAIRE-20250225;BNI
27/02/2025;605004;Jirama;35800;0;JIRAMA-20250227;BNI
27/02/2025;531001;Jirama;0;35800;JIRAMA-20250227;BNI
28/02/2025;607001;Achat fournitures bureau;124000;0;FOURN-20250228;BNI
28/02/2025;401001;Achat fournitures bureau;0;124000;FOURN-20250228;BNI
02/03/2025;401001;Règlement fournisseur;124000;0;REG-FOURN-20250302;BNI
02/03/2025;531001;Règlement fournisseur;0;124000;REG-FOURN-20250302;BNI
03/03/2025;601006;Achat legumes;17000;0;CANTINE-20250303;BNI
03/03/2025;531001;Achat legumes;0;17000;CANTINE-20250303;BNI
04/03/2025;601008;Achat viande;20000;0;CANTINE-20250304;BNI
04/03/2025;531001;Achat viande;0;20000;CANTINE-20250304;BNI
05/03/2025;601009;Achat gouter;8100;0;CANTINE-20250305;BNI
05/03/2025;531001;Achat gouter;0;8100;CANTINE-20250305;BNI
06/03/2025;601006;Achat legumes;17300;0;CANTINE-20250306;BNI
06/03/2025;531001;Achat legumes;0;17300;CANTINE-20250306;BNI
07/03/2025;601008;Achat viande;20300;0;CANTINE-20250307;BNI
07/03/2025;531001;Achat viande;0;20300;CANTINE-20250307;BNI
10/03/2025;601009;Achat gouter;8300;0;CANTINE-20250310;BNI
10/03/2025;531001;Achat gouter;0;8300;CANTINE-20250310;BNI
11/03/2025;601006;Achat legumes;17600;0;CANTINE-20250311;BNI
11/03/2025;531001;Achat legumes;0;17600;CANTINE-20250311;BNI
12/03/2025;601008;Achat viande;20600;0;CANTINE-20250312;BNI
12/03/2025;531001;Achat viande;0;20600;CANTINE-20250312;BNI
13/03/2025;601009;Achat gouter;8500;0;CANTINE-20250313;BNI
13/03/2025;531001;Achat gouter;0;8500;CANTINE-20250313;BNI
14/03/2025;601006;Achat legumes;17900;0;CANTINE-20250314;BNI
14/03/2025;531001;Achat legumes;0;17900;CANTINE-20250314;BNI
17/03/2025;601008;Achat viande;20900;0;CANTINE-20250317;BNI
17/03/2025;531001;Achat viande;0;20900;CANTINE-20250317;BNI
18/03/2025;601009;Achat gouter;8700;0;CANTINE-20250318;BNI
18/03/2025;531001;Achat gouter;0;8700;CANTINE-20250318;BNI
19/03/2025;601006;Achat legumes;18200;0;CANTINE-20250319;BNI
19/03/2025;531001;Achat legumes;0;18200;CANTINE-20250319;BNI
20/03/2025;512001;Versement en banque BMOI;130000;0;VERS200325;BNI
