Date;Sous-compte;Libelle;Debit;Credit;Reference;CODE
03/01/2023;601006;Achat legumes;12000;0;CANTINE-20230103;BNI
03/01/2023;531001;Achat legumes;0;12000;CANTINE-20230103;BNI
04/01/2023;601008;Achat viande;15000;0;CANTINE-20230104;BNI
04/01/2023;531001;Achat viande;0;15000;CANTINE-20230104;BNI
05/01/2023;601009;Achat gouter;5000;0;CANTINE-20230105;BNI
05/01/2023;531001;Achat gouter;0;5000;CANTINE-20230105;BNI
06/01/2023;601006;Achat legumes;13000;0;CANTINE-20230106;BNI
06/01/2023;531001;Achat legumes;0;13000;CANTINE-20230106;BNI
09/01/2023;601008;Achat viande;16000;0;CANTINE-20230109;BNI
09/01/2023;531001;Achat viande;0;16000;CANTINE-20230109;BNI
10/01/2023;601009;Achat gouter;5500;0;CANTINE-20230110;BNI
10/01/2023;531001;Achat gouter;0;5500;CANTINE-20230110;BNI
11/01/2023;601006;Achat legumes;12500;0;CANTINE-20230111;BNI
11/01/2023;531001;Achat legumes;0;12500;CANTINE-20230111;BNI
12/01/2023;601008;Achat viande;15500;0;CANTINE-20230112;BNI
12/01/2023;531001;Achat viande;0;15500;CANTINE-20230112;BNI
13/01/2023;601009;Achat gouter;5200;0;CANTINE-20230113;BNI
13/01/2023;531001;Achat gouter;0;5200;CANTINE-20230113;BNI
16/01/2023;601006;Achat legumes;14000;0;CANTINE-20230116;BNI
16/01/2023;531001;Achat legumes;0;14000;CANTINE-20230116;BNI
17/01/2023;601008;Achat viande;16500;0;CANTINE-20230117;BNI
17/01/2023;531001;Achat viande;0;16500;CANTINE-20230117;BNI
18/01/2023;601009;Achat gouter;5800;0;CANTINE-20230118;BNI
18/01/2023;531001;Achat gouter;0;5800;CANTINE-20230118;BNI
19/01/2023;601006;Achat legumes;13500;0;CANTINE-20230119;BNI
19/01/2023;531001;Achat legumes;0;13500;CANTINE-20230119;BNI
20/01/2023;706001;Ecolage divers élèves;0;1480000;ECOL-20230120;BNI
20/01/2023;531001;Ecolage divers élèves;1480000;0;ECOL-20230120;BNI
23/01/2023;641002;Paiement salaire maitresse;250000;0;SALAIRE-20230123;BNI
23/01/2023;641004;Paiement salaire gardien;180000;0;SALAIRE-20230123;BNI
23/01/2023;641005;Paiement femme de ménage;150000;0;SALAIRE-20230123;BNI
23/01/2023;531001;Paiement salaires;0;580000;SALAIRE-20230123;BNI
25/01/2023;605004;Jirama;28500;0;JIRAMA-20230125;BNI
25/01/2023;531001;Jirama;0;28500;JIRAMA-20230125;BNI
30/01/2023;601001;Achat fournitures scolaires;125000;0;FOURN-20230130;BNI
30/01/2023;401001;Achat fournitures scolaires;0;125000;FOURN-20230130;BNI
31/01/2023;401001;Règlement fournisseur;125000;0;REG-FOURN-20230131;BNI
31/01/2023;531001;Règlement fournisseur;0;125000;REG-FOURN-20230131;BNI
01/02/2023;601006;Achat legumes;12800;0;CANTINE-20230201;BNI
01/02/2023;531001;Achat legumes;0;12800;CANTINE-20230201;BNI
02/02/2023;601008;Achat viande;15800;0;CANTINE-20230202;BNI
02/02/2023;531001;Achat viande;0;15800;CANTINE-20230202;BNI
03/02/2023;601009;Achat gouter;5300;0;CANTINE-20230203;BNI
03/02/2023;531001;Achat gouter;0;5300;CANTINE-20230203;BNI
06/02/2023;601006;Achat legumes;13200;0;CANTINE-20230206;BNI
06/02/2023;531001;Achat legumes;0;13200;CANTINE-20230206;BNI
07/02/2023;601008;Achat viande;16200;0;CANTINE-20230207;BNI
07/02/2023;531001;Achat viande;0;16200;CANTINE-20230207;BNI
08/02/2023;601009;Achat gouter;5600;0;CANTINE-20230208;BNI
08/02/2023;531001;Achat gouter;0;5600;CANTINE-20230208;BNI
09/02/2023;601006;Achat legumes;13800;0;CANTINE-20230209;BNI
09/02/2023;531001;Achat legumes;0;13800;CANTINE-20230209;BNI
10/02/2023;601008;Achat viande;16800;0;CANTINE-20230210;BNI
10/02/2023;531001;Achat viande;0;16800;CANTINE-20230210;BNI
13/02/2023;601009;Achat gouter;5900;0;CANTINE-20230213;BNI
13/02/2023;531001;Achat gouter;0;5900;CANTINE-20230213;BNI
14/02/2023;601006;Achat legumes;14200;0;CANTINE-20230214;BNI
14/02/2023;531001;Achat legumes;0;14200;CANTINE-20230214;BNI
15/02/2023;601008;Achat viande;17200;0;CANTINE-20230215;BNI
15/02/2023;531001;Achat viande;0;17200;CANTINE-20230215;BNI
16/02/2023;601009;Achat gouter;6100;0;CANTINE-20230216;BNI
16/02/2023;531001;Achat gouter;0;6100;CANTINE-20230216;BNI
17/02/2023;601006;Achat legumes;14500;0;CANTINE-20230217;BNI
17/02/2023;531001;Achat legumes;0;14500;CANTINE-20230217;BNI
20/02/2023;706001;Ecolage divers élèves;0;1490000;ECOL-20230220;BNI
20/02/2023;531001;Ecolage divers élèves;1490000;0;ECOL-20230220;BNI
23/02/2023;641002;Paiement salaire maitresse;250000;0;SALAIRE-20230223;BNI
